Molecule,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,NoNo,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,NO,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
ZINCtA00000m8v5l,420.89,29,5,0.7,6,4,1,102.23,2.85,3.21,2.25,2.48,0.81,2.32,-4.2,2.63E-02,6.26E-05,Moderately soluble,-5.03,3.94E-03,9.35E-06,Moderately soluble,-2.8,6.64E-01,1.58E-03,Soluble,High,No,No,No,Yes,Yes,Yes,Yes,-6.59,0,0,0,0,0,0.55,0,2,1,4.31
ZINCtK00000tIzkG,521.21,29,12,0.33,6,6,1,103.61,2.23,4.32,4.62,3.64,1.44,3.25,-5.7,1.03E-03,1.98E-06,Moderately soluble,-6.21,3.21E-04,6.17E-07,Poorly soluble,-6.58,1.36E-04,2.62E-07,Poorly soluble,High,No,Yes,No,Yes,Yes,No,Yes,-6.41,1,1,0,0,0,0.55,0,2,2,3.93
