zincid,SMILES,RF_Morgan,RF_MACCS,XGB_Morgan,XGB_MACCS,DNN_Morgan,DNN_MACCS,Consensus_Avg,Consensus_Weighted,Consensus_Votes,Consensus_Geometric,RF_Morgan_Binary,XGB_Morgan_Binary,DNN_Morgan_Binary,RF_MACCS_Binary,XGB_MACCS_Binary,DNN_MACCS_Binary,Models_Active_Count,Consensus_Active,Consensus_Weighted_Active,Vote_Active,Hit_Level
ZINCoy00000J06YQ,Cn1nnnc1[C@H](c1ccc(Cl)cc1[N+](=O)[O-])N1CC=C(Br)CC1,0.265,0.42,0.8613902,0.6575081,0.98124164,0.9999176,0.6975095864137014,0.6926832417055224,4.0,0.6288630252615675,0,1,1,0,1,1,4,1,1,1,Level_2_Medium_Confidence
ZINCtA00000m8rRx,O=C([C@H]1CCCS1)N1CC=C[C@H]1CNC(=O)C1(c2ccc(Cl)c([N+](=O)[O-])c2)CC1,0.315,0.58,0.54552835,0.780528,0.96700245,0.99998575,0.6980074278513589,0.6921236132222709,5.0,0.6497220796590608,0,1,1,1,1,1,5,1,1,1,Level_2_Medium_Confidence
ZINCsk00000upjv4,CC[C@H]1CN(C(=O)[C@@H]2CCN2CC)CCN1C(=O)c1cc([N+](=O)[O-])ccc1O,0.305,0.465,0.63340604,0.82879907,0.9268937,0.99999434,0.693182193438212,0.6875132614500978,4.0,0.6404500849507877,0,1,1,0,1,1,4,1,1,1,Level_2_Medium_Confidence
ZINCsH00000hBLc4,CC(C)Oc1ccnc(N2CCN(C(=O)c3cncc(Cl)c3Cl)CC[C@H]2C)n1,0.44,0.6,0.8018225,0.7522467,0.6273228,0.9255444,0.6911560559272766,0.6870114980014502,5.0,0.6724424552658107,0,1,1,1,1,1,5,1,1,1,Level_2_Medium_Confidence
ZINCtb00001yFrkk,C[C@@H]1C[C@@H](NC(=O)c2cc(S(N)(=O)=O)c(Cl)o2)CN(C(=O)C[C@H]2CCOC2=O)C1,0.37,0.7370238095238095,0.972009,0.9807607,0.10604695,0.9975096,0.6938916762125871,0.6865733265619107,4.0,0.5493999844871991,0,1,0,1,1,1,4,1,1,1,Level_2_Medium_Confidence
ZINCtK00000tIzkC,O=[N+]([O-])c1ccc(S(=O)(=O)N2C[C@H]3CN(Cc4ccc(Cl)c(I)c4)[C@H]3C2)cc1Cl,0.29,0.5816666666666667,0.60285723,0.8777903,0.7772449,0.99999994,0.6882598394817775,0.6815243608788113,5.0,0.6410214277210152,0,1,1,1,1,1,5,1,1,1,Level_2_Medium_Confidence
ZINCqk00001RWyR0,COc1ncc(S(=O)(=O)N2CC[C@@H](N(C)Cc3noc(C)n3)C2)cc1Br,0.3,0.6941666666666667,0.71229905,0.91292584,0.5593868,0.9492849,0.6880105426576403,0.6810253623754984,5.0,0.6448597585498419,0,1,1,1,1,1,5,1,1,1,Level_2_Medium_Confidence
ZINCs400002OXiyJ,N[C@H]1C[C@@H]1CNC(=O)C(=O)N1CCN(S(=O)(=O)c2ccccc2[N+](=O)[O-])CC1,0.325,0.635,0.36392915,0.84708446,0.9516091,0.9999666,0.6870982185999552,0.6805405949362626,4.0,0.626624620337504,0,0,1,1,1,1,4,1,1,1,Level_2_Medium_Confidence
ZINCqo00001RXx7d,O=C(NC1CC1)[C@H](c1ccc([N+](=O)[O-])c(O)c1)N1CCOCC12CCC2,0.285,0.49,0.78048456,0.7589767,0.77898705,0.99999905,0.6822412252426148,0.6765169722475903,4.0,0.6331800946563295,0,1,1,0,1,1,4,1,1,1,Level_2_Medium_Confidence
ZINCnu00000NvN6y,C[C@@H](NC(=O)C[C@H]1CCN(C2COC2)C1)c1cc(O)ccc1Br,0.3366666666666667,0.535,0.654643,0.8846835,0.69018304,0.98831916,0.6815825596120623,0.6755048618023559,5.0,0.6437263822735865,0,1,1,1,1,1,5,1,1,1,Level_2_Medium_Confidence
ZINCtJ000006Y0W8,Cc1ccc(C(=O)N2CC[C@H]([C@H](C)NC(=O)c3c(Cl)nsc3Cl)C2)c([N+](=O)[O-])c1,0.3116666666666667,0.6229166666666667,0.72798663,0.7555683,0.66539085,0.9999827,0.6805853093994988,0.6743911189390412,5.0,0.6435729699939344,0,1,1,1,1,1,5,1,1,1,Level_2_Medium_Confidence
ZINCtz00000neuVI,Nc1cc([N+](=O)[O-])ccc1C(=O)N1CCN(C(=O)CCc2cc(Cl)cs2)[C@@H]2C[C@H]21,0.225,0.52,0.76770526,0.9374432,0.6361885,0.9999992,0.6810560317834219,0.6736783771481074,5.0,0.6139765778604735,0,1,1,1,1,1,5,1,1,1,Level_2_Medium_Confidence
ZINCth00001rXSGu,C[C@@H]1[C@@H](O)CCCN1C(=O)[C@@H]1[C@H](O)CCN1C(=O)Cc1ccc(Cl)cc1[N+](=O)[O-],0.28,0.56,0.51253855,0.8482625,0.87599564,0.99997646,0.6794621888796488,0.672816983596653,5.0,0.6251953837938768,0,1,1,1,1,1,5,1,1,1,Level_2_Medium_Confidence
ZINCtJ00000xQw9W,CN([C@H]1CCN(C(=O)c2c(F)ccnc2Cl)C1)S(=O)(=O)c1cc(Cl)c(Br)cc1F,0.295,0.6941666666666666,0.5359631,0.8631658,0.7030055,0.9875974,0.6798164131906298,0.6726247632137144,5.0,0.6353439902559902,0,1,1,1,1,1,5,1,1,1,Level_2_Medium_Confidence
ZINCrB000001fcYs,Cc1nc(N2CC[C@@H]3CCN(C(=O)[C@@H]4CC4(Cl)Cl)C[C@@H]3C2)ccc1[N+](=O)[O-],0.3,0.505,0.45143798,0.82588905,0.98482543,0.9999512,0.6778506078322728,0.6717773442741827,4.0,0.6178434045029347,0,0,1,1,1,1,4,1,1,1,Level_2_Medium_Confidence
ZINCtM00000w5RoM,CN(C(=O)c1ccc(Cl)c([N+](=O)[O-])c1)[C@@H]1CCN(C(=O)C2(C)CCCCCC2)C1,0.345,0.49,0.68288004,0.60914946,0.93037677,0.99988884,0.6762158509095509,0.6717573507119576,4.0,0.6347689463800864,0,1,1,0,1,1,4,1,1,1,Level_2_Medium_Confidence
ZINCqu000004B4Zx,N#Cc1c([N+](=O)[O-])cccc1S(=O)(=O)N1CCC[C@@H]([C@H]2CCCCO2)C1,0.27,0.515,0.8198304,0.4631395,0.98710406,0.99996835,0.6758403883377712,0.671355952193551,4.0,0.6111662166952226,0,1,1,1,0,1,4,1,1,1,Level_2_Medium_Confidence
ZINCtt00000tnuAv,Cc1c([N+](=O)[O-])ccc(Br)c1C(=O)N1C[C@H]2[C@@H](C1)[C@@H]2C(=O)N1CCC[C@](C)(O)C1,0.325,0.575,0.4101926,0.8470517,0.90352476,0.99996424,0.6767888804276785,0.6704409279299121,4.0,0.6233456190549463,0,0,1,1,1,1,4,1,1,1,Level_2_Medium_Confidence
ZINCtt00000tnuAu,Cc1c([N+](=O)[O-])ccc(Br)c1C(=O)N1C[C@@H]2C[C@H]1CN2C(=O)c1ccc(=O)oc1,0.255,0.495,0.50883514,0.9188757,0.880631,0.99999714,0.6763898332913717,0.6694602654166255,4.0,0.61088856574908,0,1,1,0,1,1,4,1,1,1,Level_2_Medium_Confidence
