zincid,SMILES,RF_Morgan,RF_MACCS,XGB_Morgan,XGB_MACCS,DNN_Morgan,DNN_MACCS,Consensus_Avg,Consensus_Weighted,Consensus_Votes,Consensus_Geometric,RF_Morgan_Binary,XGB_Morgan_Binary,DNN_Morgan_Binary,RF_MACCS_Binary,XGB_MACCS_Binary,DNN_MACCS_Binary,Models_Active_Count,Consensus_Active,Consensus_Weighted_Active,Vote_Active,Hit_Level
ZINCrO000012uU8G,C[C@H](Cc1cnco1)C(=O)N(Cc1cscc1Cl)C[C@H]1CC12CCOCC2,0.3875,0.595,0.09751278,0.8756614,0.34634528,0.958737,0.5434594076871871,0.5363540617011963,3.0,0.43241345160977973,0,0,0,1,1,1,3,0,0,0,Level_1_Low_Confidence
ZINCrB000001fcxW,Cc1nc(N2CCSC[C@H]2CCNC(=O)C[C@@H]2CC(C)(C)CO2)ncc1Br,0.255,0.475,0.1326006,0.88282776,0.5323874,0.9878339,0.5442749428749084,0.5363458539999968,3.0,0.4420056559157052,0,0,1,0,1,1,3,0,0,0,Level_1_Low_Confidence
ZINCsK000006VeaX,Cc1c(Br)ccnc1C(=O)N[C@@]12CCCCC[C@H]1N(C(=O)c1ccco1)CC2,0.33,0.5066666666666667,0.10094373,0.45635664,0.96928096,0.87893015,0.5403630250361231,0.5361227004043317,3.0,0.43268383812858496,0,0,1,1,0,1,3,0,0,0,Level_1_Low_Confidence
ZINCtw000005H56K,CN(C[C@H]1CCCCN1C(=O)C12CC1C2)C(=O)[C@@H]1Cc2ccc(Cl)cc2C(=O)O1,0.265,0.545,0.73319954,0.8157341,0.04197564,0.8549154,0.542637440909942,0.5359424869156052,4.0,0.38184660822167477,0,1,0,1,1,1,4,0,0,1,Level_1_Low_Confidence
ZINCtx00000iw7VQ,Cc1ccc(C(=O)N2CCN(C(=O)Cc3csc(C(C)(C)C)n3)[C@@H](C)C2)nc1O,0.315,0.54,0.4110393,0.83745784,0.2011248,0.9536457,0.5430446061491966,0.535833016025259,3.0,0.4732244936948319,0,0,0,1,1,1,3,0,0,0,Level_1_Low_Confidence
ZINCsJ00000kXg19,CN(C[C@H]1CCCN(C(=O)c2ccc(Br)s2)C1)S(=O)(=O)c1ccc(F)c(F)c1,0.2675,0.6366666666666666,0.50770044,0.83212376,0.047880396,0.9719886,0.5439766468273269,0.5357054497516465,4.0,0.38678982981493604,0,1,0,1,1,1,4,0,0,1,Level_1_Low_Confidence
ZINCrw00000PQTRB,CCc1cc2c(N3CCN(C(=O)c4[nH]ccc4Br)C[C@@H](O)C3)ncnc2s1,0.315,0.565,0.46082103,0.86946833,0.054984063,0.9961112,0.5435641068220138,0.5356783289520453,3.0,0.3968395543941447,0,0,0,1,1,1,3,0,0,0,Level_1_Low_Confidence
ZINCsM00001JM9pj,CC(C)c1nc(Cl)cc(=N[C@@H]2C=CCN(C(=O)c3cc(F)c(O)c(Cl)c3)C2)[nH]1,0.3275,0.5675,0.47185552,0.86146325,0.06849808,0.9616122,0.5430715128282706,0.5356264395874443,3.0,0.41319040312768834,0,0,0,1,1,1,3,0,0,0,Level_1_Low_Confidence
ZINCr500000PI4JP,CN(CC1(NC(=O)c2coc(S(N)(=O)=O)c2)CC1)C(=O)[C@@H]1CCCN1N=O,0.28,0.585,0.46388814,0.7629739,0.1874447,0.97994906,0.543209300339222,0.535612826875761,3.0,0.4690497617961744,0,0,0,1,1,1,3,0,0,0,Level_1_Low_Confidence
ZINCro00000HmuSX,CC(C)CS(=O)(=O)NC[C@H]1CCN(C(=O)c2ccc([N+](=O)[O-])o2)CC1(F)F,0.225,0.5329166666666666,0.4425792,0.054601368,0.9833786,0.9999922,0.5397446708298391,0.5354910321114474,3.0,0.3765236712503116,0,0,1,1,0,1,3,0,0,0,Level_1_Low_Confidence
